id,title,description,availability,availability date,expiration date,link,mobile link,image link,price,sale price,sale price effective date,identifier exists,gtin,mpn,brand,product highlight,product detail,additional image link,condition,adult,color,size,size type,size system,gender,material,pattern,age group,multipack,is bundle,unit pricing measure,unit pricing base measure,energy efficiency class,min energy efficiency class,min energy efficiency class,item group id,sell on google quantity
88fec73e-fbc6-48ae-a406-7ba203a077d3,Sableye (XY92),Pokémon single. Set: XYP. Card: XY92.,in_stock,,,https://legendary-collectibles.com/products/pokemon-sableye-xy92,https://legendary-collectibles.com/products/pokemon-sableye-xy92,https://legendary-collectibles.com/images/placeholder-pokemon.jpg,18.99 USD,,,false,,,Legendary Collectibles,Collector-quality single,XYP • #XY92,,new,,,,,,,,,,,false,,,,,,,1
eb6faf25-c62e-40f8-a87f-d13620aa459e,Dialga (XY77),Pokémon single. Set: XYP. Card: XY77.,in_stock,,,https://legendary-collectibles.com/products/pokemon-dialga-xy77,https://legendary-collectibles.com/products/pokemon-dialga-xy77,https://legendary-collectibles.com/images/placeholder-pokemon.jpg,15.99 USD,,,false,,,Legendary Collectibles,Collector-quality single,XYP • #XY77,,new,,,,,,,,,,,false,,,,,,,1
e9fa4703-ac4e-4080-bcdc-d7d859e5a482,Flareon (13/98),Pokémon single. Set: XY7. Card: 13/98.,in_stock,,,https://legendary-collectibles.com/products/pokemon-flareon-13-98,https://legendary-collectibles.com/products/pokemon-flareon-13-98,https://legendary-collectibles.com/images/placeholder-pokemon.jpg,4.95 USD,,,false,,,Legendary Collectibles,Collector-quality single,XY7 • #13/98,,new,,,,,,,,,,,false,,,,,,,1
db220f44-9ab9-489a-8c23-0b39268d6e61,Gallade (84/162),Pokémon single. Set: XY8. Card: 84/162.,in_stock,,,https://legendary-collectibles.com/products/pokemon-gallade-84-162,https://legendary-collectibles.com/products/pokemon-gallade-84-162,https://legendary-collectibles.com/images/placeholder-pokemon.jpg,1.45 USD,,,false,,,Legendary Collectibles,Collector-quality single,XY8 • #84/162,,new,,,,,,,,,,,false,,,,,,,1
b8a56676-1556-40c1-a5fd-cded9a2241f7,Accesscode Talker — Near Mint,"Type: Link Monster
A generic powerhouse finisher. This Near Mint Accesscode Talker is a Link-4 monster used to close out games with massive attack boosts and non-targetable destruction. The card is fresh, with no foil clouding or corner damage.",in_stock,,,https://legendary-collectibles.com/products/yugioh-accesscode-talker-near-mint,https://legendary-collectibles.com/products/yugioh-accesscode-talker-near-mint,https://legendary-collectibles.com/images/placeholder-yugioh.jpg,12.99 USD,,,false,,,Legendary Collectibles,Collector-quality single,Chase • Link Monster,,new,,,,,,,,,,,false,,,,,,,1
973cba0b-b736-4364-932b-9433337c47e4,Ash Blossom & Joyous Spring — Near Mint,"Type: Effect Monster (Tuner/Hand Trap)
One of the most defining cards of the modern era. This Near Mint Ash Blossom & Joyous Spring is crucial for stopping your opponent's search and draw effects. The card is in pristine condition, ready to be sleeved and played in a competitive tournament setting.",in_stock,,,https://legendary-collectibles.com/products/yugioh-ash-blossom-joyous-spring-near-mint,https://legendary-collectibles.com/products/yugioh-ash-blossom-joyous-spring-near-mint,https://legendary-collectibles.com/images/placeholder-yugioh.jpg,28.99 USD,,,false,,,Legendary Collectibles,Collector-quality single,Staple • Hand Trap,,new,,,,,,,,,,,false,,,,,,,1
aea56bee-8746-4885-8c0a-0c521279c6a6,Blue-Eyes White Dragon — Near Mint,"Type: Normal Monster
Seto Kaiba’s legendary engine of destruction. This Near Mint Blue-Eyes White Dragon is virtually flawless. A shining example of the most famous dragon in anime history, perfect for collectors demanding high quality.",in_stock,,,https://legendary-collectibles.com/products/yugioh-blue-eyes-white-dragon-near-mint,https://legendary-collectibles.com/products/yugioh-blue-eyes-white-dragon-near-mint,https://legendary-collectibles.com/images/placeholder-yugioh.jpg,12.99 USD,,,false,,,Legendary Collectibles,Collector-quality single,Classic • Blue-Eyes,,new,,,,,,,,,,,false,,,,,,,1
909c0c9a-53a0-4278-88a8-9b587608e1bc,Booster Box (Sealed),"The gold standard for TCG fans. This factory-sealed Booster Box contains 36 Draft Booster packs (or 30 Set Boosters, depending on the specific set). It is the ideal product for hosting a draft night with friends or cracking packs to hunt for rare and mythic rare cards. Guaranteed unmapped and tamper-free factory seal.",in_stock,,,https://legendary-collectibles.com/products/pokemon-booster-box-sealed,https://legendary-collectibles.com/products/pokemon-booster-box-sealed,https://legendary-collectibles.com/images/placeholder-pokemon.jpg,269.99 USD,,,false,,,Legendary Collectibles,Factory sealed product,Sealed • Booster Box,,new,,,,,,,,,,,true,,,,,,,5
2dd6ab5b-d7a4-4603-b77a-be19d0794923,Charizard — Lightly Played,"Own the power of the Flame Pokémon without the premium price tag. This Charizard is in Lightly Played (LP) condition. It may show minor border wear, slight corner whitening, or very faint surface scratches, but the structural integrity of the card is sound. The artwork remains clear and striking. An excellent choice for a player looking to sleeve up a deck or a collector who appreciates the card over the condition.",in_stock,,,https://legendary-collectibles.com/products/pokemon-charizard-lightly-played,https://legendary-collectibles.com/products/pokemon-charizard-lightly-played,https://legendary-collectibles.com/images/placeholder-pokemon.jpg,650.25 USD,,,false,,,Legendary Collectibles,Collector-quality single,Iconic • LP,,new,,,,,,,,,,,false,,,,,,,1
7380684c-a231-476c-95fd-4fc2737716f4,Counterspell — Near Mint,"Type: Instant
The original answer to everything. This Near Mint Counterspell is the definition of control. Clean edges and a perfect surface make this classic blue spell ready for your next control deck.",in_stock,,,https://legendary-collectibles.com/products/mtg-counterspell-near-mint,https://legendary-collectibles.com/products/mtg-counterspell-near-mint,https://legendary-collectibles.com/images/placeholder-mtg.jpg,5.75 USD,,,false,,,Legendary Collectibles,Collector-quality single,Staple • Control,,new,,,,,,,,,,,false,,,,,,,1
